MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD;LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;28-07-2010;06:45:00;;22,7;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;11-08-2010;07:00:00;;22;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;25-08-2010;07:00:00;;20,7;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;08-09-2010;07:00:00;;18,1;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;22-09-2010;07:00:00;;18;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;06-10-2010;07:00:00;;17,1;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;20-10-2010;06:45:00;;13,2;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;03-11-2010;07:50:00;;12,5;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;17-11-2010;08:00:00;;11;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;01-12-2010;07:55:00;;6;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
